geography,geographycode,TotalDeathsPerThousand,UnsharedBungalow,UnsharedFlat,SharedDwelling,Age0To19,Age20To29,Age30To59,Age60AndAbove,GoodHealth,FairHealth,PoorHealth
Adur,E07000223,1.42,834.77,164.6,0.63,50.29,11.07,938.02,0.62,792.39,150.06,57.55
Allerdale,E07000026,2.69,945.64,54.3,0.06,21.21,5.11,973.27,0.4,790.11,147.37,62.52
Amber Valley,E07000032,2.5,960.55,39.38,0.07,24.16,5.38,970.2,0.26,789.97,149.92,60.11
Arun,E07000224,2.14,832.34,164.73,2.93,64.98,20.14,913.96,0.92,787.52,155.83,56.65
Ashfield,E07000170,3.16,949.4,50.21,0.39,24.05,5.71,970.04,0.2,765.32,163.05,71.63
Ashford,E07000105,2.94,914.79,84.44,0.77,69.03,22.25,907.06,1.66,826.69,127.39,45.92
Babergh,E07000200,2.33,954.51,45.35,0.14,40.11,9.13,950.08,0.68,824.12,132.48,43.4
Barking and Dagenham,E09000002,2.76,747.37,250.13,2.5,234.95,71.36,691,2.69,809.74,129.32,60.94
Barnet,E09000003,2.43,654.89,340.47,4.64,292.18,91.62,611.39,4.82,844.48,109.91,45.61
Barnsley,E08000016,3.1,952.67,46.58,0.74,25.96,7.53,966.25,0.25,751.85,164.15,84
Barrow-in-Furness,E07000027,2.39,930.58,68.88,0.54,22.68,6.06,970.85,0.41,758.51,157.74,83.75
Basildon,E07000066,3.18,885.95,113.96,0.09,55.36,15.86,928.03,0.76,812.02,132.64,55.34
Basingstoke and Deane,E07000084,1.71,900.46,99.26,0.29,82.98,23.06,892.92,1.04,857.88,107.55,34.57
Bassetlaw,E07000171,1.9,953.38,46.33,0.29,36.01,10.61,953.12,0.27,774.96,157.66,67.38
Bath and North East Somerset,E06000022,1.51,847.69,148.66,3.65,75.44,16.76,907.07,0.73,839.3,118.49,42.21
Bedford,E06000055,3.04,882.18,115.19,2.63,139.78,34.51,823.95,1.76,828.83,125.81,45.36
Bexley,E09000004,2.5,831.26,168.03,0.71,108.36,30.83,859.35,1.46,826.6,125.07,48.33
Birmingham,E08000025,2.53,838.39,159.09,2.52,180.82,39.03,777.91,2.24,794.44,138.65,66.9
Blaby,E07000129,2.21,962.01,37.94,0.05,55.06,10.01,934.42,0.51,833.16,125.26,41.58
Blackburn with Darwen,E06000008,2.82,932.98,66.15,0.86,124.02,22.5,852.23,1.25,786.51,140.52,72.97
Blackpool,E06000009,2.69,849.38,147.53,3.09,42.67,11.12,945.78,0.43,736.44,168.77,94.79
Bolsover,E07000033,2.93,963.07,36.9,0.03,22.86,7.14,969.79,0.21,742.85,170.89,86.26
Bolton,E08000001,2.46,916.81,82.07,1.12,90.88,20.77,887.19,1.15,792.36,141.41,66.24
Boston,E07000136,2.43,913.66,85.87,0.47,106.05,44.43,848.54,0.97,781.64,158.61,59.75
"Bournemouth, Christchurch and Poole",E06000058,2.3,721.38,271.73,6.89,87.51,22.85,888.63,1.01,806.86,138.29,54.85
Bracknell Forest,E06000036,1.39,859.47,139.88,0.65,99.29,31.08,868.28,1.35,866.87,100.65,32.48
Bradford,E08000032,2.22,907.1,90.6,2.3,140.79,29.08,828.48,1.64,804.22,137.01,58.78
Braintree,E07000067,2.73,912.3,87.31,0.39,46.84,11.78,940.84,0.54,832.01,124.36,43.63
Breckland,E07000143,2.26,951.49,48.32,0.2,63.88,21.96,913.27,0.89,795.15,149.93,54.92
Brent,E09000005,2.54,572.89,419.06,8.05,414.75,129,449.17,7.08,828.57,118.02,53.4
Brentwood,E07000068,3.04,852.37,147.21,0.43,64.37,18.26,916.55,0.82,843.53,116.37,40.09
Brighton and Hove,E06000043,1.48,617.41,369.12,13.47,127.08,28.56,843.12,1.23,829.07,118.15,52.78
Bristol,E06000023,1.32,741.28,252.33,6.39,117.51,28.61,852.59,1.29,822.7,122.47,54.83
Broadland,E07000144,2.48,970.06,29.74,0.2,32.89,8.66,957.96,0.5,812.9,140.2,46.9
Bromley,E09000006,2.18,779.42,218.42,2.16,112.47,30.59,855.38,1.56,842.21,116.67,41.12
Bromsgrove,E07000234,2.64,927.5,72.26,0.23,33.97,5.64,960.09,0.3,824.87,126.93,48.21
Broxbourne,E07000095,2.3,817.12,182.28,0.6,96.14,21.09,881.58,1.19,830.4,123.32,46.28
Broxtowe,E07000172,2.38,926.23,73.63,0.14,61.92,14.59,922.99,0.51,804.73,142.61,52.66
Buckinghamshire,E06000060,1.97,894.02,104.94,1.04,99.53,24.35,874.76,1.36,858.69,107.12,34.19
Burnley,E07000117,3.33,949.03,50.64,0.33,63.44,13.17,922.65,0.74,765.66,157.16,77.18
Bury,E08000002,2.8,917.15,82.71,0.14,70.02,16.34,912.92,0.72,803.86,137.41,58.73
Calderdale,E08000033,1.56,902.72,96.22,1.06,61.68,12.41,925.25,0.65,806.85,137.82,55.34
Cambridge,E07000008,0.98,767.43,226.63,5.93,227.95,63.4,706.29,2.37,866.6,97.05,36.35
Camden,E09000007,1.4,197.99,776.72,25.3,319.14,100.59,575,5.26,839.74,104.22,56.05
Cannock Chase,E07000192,2.72,928.82,70.98,0.21,20.59,4.13,975.08,0.19,787.66,144.58,67.76
Canterbury,E07000106,2.98,867.46,130.8,1.74,91.01,17.61,890.45,0.94,814.46,133.72,51.82
Carlisle,E07000028,2.97,919.71,77.93,2.36,38.13,10.44,950.98,0.45,800.63,139.78,59.59
Castle Point,E07000069,4.15,924.52,75.25,0.23,30.1,5.44,964.24,0.22,796.11,147.29,56.61
Central Bedfordshire,E06000056,2.28,919.46,80.35,0.18,63.78,14.61,920.87,0.74,846.68,114.8,38.52
Charnwood,E07000130,1.94,926.48,72.91,0.61,86.87,16.35,896.03,0.75,834.09,124.14,41.76
Chelmsford,E07000070,2.46,878.1,121.66,0.24,60.04,15.64,923.66,0.66,849.06,114.44,36.5
Cheltenham,E07000078,1.87,806.09,189.89,4.02,88.51,22.44,888.18,0.86,842.29,117.78,39.93
Cherwell,E07000177,1.63,926.22,73.07,0.71,87.41,24.91,886.55,1.13,849.85,111.68,38.47
Cheshire East,E06000049,2.46,932.09,67.61,0.3,42.39,12.1,945.17,0.34,823.12,127.81,49.07
Cheshire West and Chester,E06000050,2.62,922.39,77.01,0.59,38.57,9.55,951.5,0.38,815.34,129.26,55.4
Chesterfield,E07000034,1.99,920.16,79.43,0.41,29.86,7.99,961.94,0.21,760.16,163.64,76.19
Chichester,E07000225,2.53,882.83,116.41,0.77,63.47,16.43,919,1.09,825.89,130.94,43.17
Chorley,E07000118,2.11,942.02,57.33,0.65,29.81,6.54,963.37,0.28,811.98,132.72,55.29
City of London,E09000001,1.49,27.97,968.55,3.48,275.25,87.32,633.22,4.2,879.46,87.19,33.36
Colchester,E07000071,2.03,858.44,140.05,1.51,91.28,19.93,888.03,0.76,836.63,120.9,42.47
Copeland,E07000029,2.41,952.55,47.08,0.38,22.7,5.76,971.3,0.23,782.79,148.95,68.27
Cornwall,E06000052,0.95,903.5,95.49,1.01,35.19,8.72,955.65,0.44,788.25,148.76,62.99
Cotswold,E07000079,1.6,923.06,76.51,0.43,54.68,15.17,929.36,0.8,838.55,123.31,38.14
County Durham,E06000047,2.63,963.03,36.81,0.16,25.87,6.11,967.53,0.49,757.8,160.56,81.64
Coventry,E08000026,1.87,874.45,122.22,3.33,174.18,36.36,787.88,1.58,806.93,132.53,60.55
Craven,E07000163,2.24,938.94,60.82,0.24,32.86,8.01,958.53,0.6,821.76,133.32,44.92
Crawley,E07000226,1.88,830.29,169.28,0.43,154.67,45.4,797.39,2.54,835.2,120.6,44.19
Croydon,E09000008,2.51,719.85,276.02,4.13,227.97,64.71,704.21,3.11,834.44,119.64,45.92
Dacorum,E07000096,2.15,847.74,151.99,0.27,84.05,21.13,893.95,0.87,843.9,115.83,40.27
Darlington,E06000005,2.31,918.07,80.66,1.27,41.61,10.54,947.53,0.31,798.05,143.19,58.76
Dartford,E07000107,2.93,844.6,154.83,0.57,87.17,24.63,887.22,0.99,834.12,121.57,44.31
Derby,E06000015,2.84,909.78,89.1,1.11,110.48,27.33,860.82,1.37,799.58,141.48,58.94
Derbyshire Dales,E07000035,2.35,939.36,60.38,0.26,26.14,6.33,967.25,0.28,817.96,136.65,45.39
Doncaster,E08000017,2.64,945.92,53.2,0.87,48.6,12.66,938.26,0.48,776.19,151.28,72.53
Dorset,E06000059,1.71,909.95,89.67,0.38,50.7,11.68,936.76,0.86,818.7,136.28,45.02
Dover,E07000108,3.04,876,120.33,3.66,57.21,14.96,926.87,0.96,787.2,149.95,62.85
Dudley,E08000027,2.31,916.14,83.27,0.59,43.27,9.38,946.9,0.46,782.07,152.84,65.09
Ealing,E09000009,2.19,634.27,359.13,6.6,361.02,114.43,517.72,6.83,836.45,113.52,50.03
East Cambridgeshire,E07000009,1.16,946.39,53.46,0.16,73.43,23.65,901.67,1.25,839.45,120.87,39.68
East Devon,E07000040,1.37,890.93,108.08,0.98,38.5,10.21,950.68,0.61,798.15,150.69,51.16
East Hampshire,E07000085,1.7,899.78,99.9,0.32,64.73,17.15,917.13,0.99,851.52,111.45,37.02
East Hertfordshire,E07000242,1.67,873.89,125.97,0.14,63.73,15.8,919.91,0.57,862.33,104.04,33.63
East Lindsey,E07000137,2.34,923.23,75.46,1.31,29.25,7.27,963.09,0.39,735.17,182.66,82.17
East Riding of Yorkshire,E07000193,6.59,921.23,78.42,0.35,69.98,15.98,913.31,0.73,815.88,134.72,49.4
East Suffolk,E07000244,2.1,935.48,63.71,0.81,38.99,10.52,949.87,0.62,796.41,148.87,54.72
Eastbourne,E07000061,3.18,727.18,267.01,5.82,90.62,27.54,880.12,1.72,784.72,153.41,61.86
Eastleigh,E07000086,1.41,886.03,113.8,0.18,58.54,14.54,926.27,0.65,844.66,116.12,39.22
Eden,E07000030,2.51,933.91,65.95,0.14,28.06,5.84,965.81,0.29,818.43,136.88,44.69
Elmbridge,E07000207,2.03,840.44,159,0.56,129.34,50.92,817.26,2.48,874.38,94.44,31.17
Enfield,E09000010,2.38,694.7,301.95,3.35,277.82,69.53,649.25,3.4,818.47,127.05,54.48
Epping Forest,E07000072,3.07,849.22,150.55,0.23,74.21,15.96,908.95,0.88,830.18,123.82,46
Epsom and Ewell,E07000208,2.92,831.84,167.23,0.93,124.82,35.88,837.33,1.97,859.67,106.36,33.97
Erewash,E07000036,2.58,949.58,49.99,0.43,29.71,6.31,963.63,0.35,794.2,149.55,56.25
Exeter,E07000041,0.97,807.42,188.64,3.94,89.83,19.98,889.5,0.69,832.75,119.51,47.74
Fareham,E07000087,2.37,912.96,86.93,0.11,47.01,9.06,943.65,0.29,837.54,122.23,40.23
Fenland,E07000010,2.17,931.42,67.87,0.71,63.47,22.14,913.83,0.57,772.81,165.44,61.76
Folkestone and Hythe,E07000112,3.37,814.6,180.69,4.71,71.03,19.83,907.55,1.59,783.34,152.5,64.17
Forest of Dean,E07000080,1.37,952.19,47.54,0.27,31.31,6.65,961.43,0.61,800.64,144.93,54.43
Fylde,E07000119,3.35,846.56,152.28,1.16,40.59,8.86,950.17,0.38,784.17,153.37,62.46
Gateshead,E08000037,2.23,857.52,142.38,0.1,39.25,9.7,950.74,0.31,764.82,155.62,79.56
Gedling,E07000173,2.55,930.52,69.32,0.15,46.33,9.09,944.17,0.41,802.23,145.08,52.68
Gloucester,E07000081,2.01,887.52,110.32,2.15,81.37,22.48,895.26,0.89,820.17,130.93,48.9
Gosport,E07000088,1.89,833.3,166.11,0.59,50.13,10.24,939.24,0.39,815.3,135.85,48.85
Gravesham,E07000109,2.9,864.15,135,0.85,110.39,28.7,859.41,1.5,814.69,133.99,51.33
Great Yarmouth,E07000145,2.13,880.42,118.18,1.4,48.33,16.47,934.67,0.53,763.14,165.82,71.04
Greenwich,E09000011,1.89,620.58,372.37,7.05,234.22,72.06,690,3.72,830.92,115.44,53.64
Guildford,E07000209,1.6,865.12,133.86,1.02,122.8,31.1,844.9,1.2,870.47,97.99,31.54
Hackney,E09000012,1.94,286.48,693.42,20.1,303.87,83.69,609.21,3.23,828.93,108.97,62.09
Halton,E06000006,2.18,937.93,61.93,0.14,21.94,4.79,973.08,0.19,782.35,139.2,78.45
Hambleton,E07000164,1.78,952.27,47.34,0.39,37.14,7.44,955.14,0.28,830.9,126.04,43.07
Hammersmith and Fulham,E09000013,1.54,343.46,636.48,20.06,322.63,100.66,572.37,4.33,857.07,94.18,48.74
Harborough,E07000131,1.77,953.33,46.53,0.14,44.24,9.17,946.32,0.27,851.26,113.69,35.05
Haringey,E09000014,1.86,498.65,484.19,17.15,341.21,100.8,554,3.99,831.82,111.58,56.6
Harlow,E07000073,2.29,813.8,185.82,0.38,88.4,26.3,884.43,0.87,809.69,136.72,53.6
Harrogate,E07000165,1.8,877.69,120.05,2.26,65.78,21.1,912.08,1.04,844.04,118.03,37.94
Harrow,E09000015,2.7,772.35,226.26,1.39,337.03,102.27,552.2,8.5,835.79,118.5,45.71
Hart,E07000089,1.65,925.04,74.61,0.35,75.2,19.3,904.35,1.14,880.99,92.63,26.39
Hartlepool,E06000001,2.72,924.57,75.12,0.31,21.92,5.67,972.19,0.22,759.91,158.72,81.37
Hastings,E07000062,2.66,720.42,274.32,5.26,65.84,20.02,913.12,1.02,767.42,158.18,74.4
Havant,E07000090,2.45,863.72,135.83,0.45,42.16,8.69,948.64,0.51,801.67,142.42,55.91
Havering,E09000016,3.56,844,155.33,0.67,80.88,20.92,897.18,1.02,815.7,132.75,51.56
Herefordshire,E06000019,1.6,910.67,88.23,1.1,51.78,14.36,933.25,0.62,808.65,139.07,52.28
Hertsmere,E07000098,3.18,817.62,181.45,0.92,132.65,35.67,829.87,1.81,844.19,114.29,41.52
High Peak,E07000037,2.62,919.25,80.05,0.7,29.44,6.04,964.14,0.37,815.97,132.15,51.89
Hillingdon,E09000017,2.58,799.68,199.74,0.58,234.37,61.14,700.38,4.11,840.61,114.96,44.43
Hinckley and Bosworth,E07000132,1.97,948.81,51,0.19,33.97,6.9,958.84,0.3,820.96,132.99,46.05
Horsham,E07000227,1.71,879.91,119.64,0.45,61.64,17.24,920.12,1.01,853.66,111.04,35.29
Hounslow,E09000018,2.24,654.93,341.57,3.5,328.04,99.21,567.2,5.56,840.72,112.43,46.85
Huntingdonshire,E07000011,1.47,931.44,68.42,0.14,73.6,21.95,903.83,0.62,844.47,116.11,39.41
Hyndburn,E07000120,2.61,944.94,54.8,0.26,59.65,11.32,928.26,0.77,772.52,151.42,76.05
Ipswich,E07000202,2.39,838.4,160.09,1.51,90.22,27.03,881.67,1.08,813.97,135.35,50.68
Isle of Wight,E06000046,1.84,847.29,151.14,1.57,40.02,11.26,947.95,0.77,773.4,161.85,64.75
Isles of Scilly,E06000053,0,805.46,193.12,1.41,47.66,12.26,939.63,0.45,857.47,112.57,29.96
Islington,E09000019,1.58,232.34,752.93,14.73,280.12,70.81,645.7,3.37,823.62,112.13,64.25
Kensington and Chelsea,E09000020,1.58,228.13,740.72,31.15,349.75,159.71,483.7,6.85,863.25,91.17,45.58
King's Lynn and West Norfolk,E07000146,2.64,931.58,67.98,0.44,57.06,18.59,923.47,0.88,779.94,158.97,61.08
Kingston upon Hull,E06000010,2.38,896.03,102.84,1.12,66.8,17.87,914.9,0.44,780.51,148.6,70.89
Kingston upon Thames,E09000021,1.91,706.96,287.93,5.11,210.75,68.02,717.36,3.87,861.74,102.62,35.64
Kirklees,E08000034,2.06,922.17,76.36,1.47,90.27,16.74,891.97,1.02,805.04,137.39,57.57
Knowsley,E08000011,2.71,940.12,59.75,0.13,18.31,4.85,976.65,0.18,758.49,146.82,94.69
Lambeth,E09000022,1.72,334.12,649.9,15.98,301.33,83.81,611.5,3.36,849.96,102.9,47.14
Lancaster,E07000121,2.06,881.27,116.71,2.02,59.32,13.43,926.86,0.4,805.12,137.02,57.86
Leeds,E08000035,2.04,857.78,140.44,1.78,92.45,21.33,885.37,0.85,818.8,127.1,54.1
Leicester,E06000016,2.46,849.79,146.71,3.51,256.82,74.28,663.95,4.95,805.42,134.24,60.34
Lewes,E07000063,2.73,867.29,131.9,0.8,58,15.42,925.5,1.09,803.6,142.56,53.83
Lewisham,E09000023,1.99,522.18,469.2,8.62,263.27,71.28,662.59,2.86,831.06,117.04,51.9
Lichfield,E07000194,2.79,917.88,81.89,0.23,31.52,6.53,961.62,0.33,817.05,131.73,51.22
Lincoln,E07000138,1.75,867.58,131.3,1.12,76.78,20.43,902.1,0.69,807.61,139.03,53.36
Liverpool,E08000012,2.74,841.12,153.83,5.05,78.25,19.78,901.11,0.87,772.08,140.27,87.66
Luton,E06000032,2.5,850.21,147.06,2.73,251.17,55.68,690.59,2.55,826.31,124.39,49.3
Maidstone,E07000110,2.57,878.03,120.31,1.66,72.75,18.94,907.2,1.12,831.62,124.34,44.04
Maldon,E07000074,2.26,939.08,60.92,0,31.33,7.33,960.85,0.49,818.32,134.17,47.51
Malvern Hills,E07000235,1.74,905.31,93.92,0.77,42.31,7.49,949.79,0.4,806.39,140.61,52.99
Manchester,E08000003,1.81,764.13,232.85,3.02,198.9,51.52,747.46,2.12,804.54,124.52,70.94
